name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Wisma nuhgraha 8E 30,,5,06/18/2023 08:14:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Susi Wulandari,"Kolam renang nya cukup bersih, nyaman dan asri.  Ada gazebonya juga bisa untuk istirahat dan makan2. Untuk kolam renang hanya ada 2 ukuran 1.5m utk dewasa dan kolam untuk anak2. Lebih aman antara kolam renang anak dan dewasa ada pagar pembatasnya. Harga makanan dikantin juga cukup wajar meskipun ada ditempat wisata.",5,06/04/2023 09:54:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Winata Tole,"Tempatnya bagus,banyak pengunjungnya tiap hari.saya dari Majalengka Jawa barat terkesan dengan kolam renang BANYU BIRU pokoknya mantaplah sukses selalu buat pemilik kolam renang BANYU BIRU.",5,05/29/2023 08:23:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Boss Nanok Official,,4,05/13/2023 08:56:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,sugi arto,Rekomendasi pokoknya,4,04/28/2023 01:48:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Marcel G,,5,04/26/2023 11:06:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,nino divertente,"Rab, 22 Maret 2023

Hati hati untuk pengunjung anak anak. Di kolam anak, beberapa keramik ada yg lepas.",3,03/22/2023 07:33:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Kurnia Haqiki,,3,03/17/2023 04:32:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Achmad Suna,,5,02/04/2023 04:32:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,mr. saifull,"Tempat lumayan. Cuma airnya terasa banget kaporitnya. Jangan lupa, Jaga bawaan masing2, jangan sampai kehilangan.",5,02/01/2023 15:16:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Rasyid San Adjie,"Air Terlalu lengket, terlalu banyak kaporit.",1,01/10/2023 11:20:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Herlin astuti,"Menyenangkan,kamar mandi nya banyak jadi nyaman klu membersihkan diri setelah renang",4,01/08/2023 05:12:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Salmaa Yeah,"lokasi masuk gang, ikutin maps aja. kesini weekday tapi rame krn emang lg holiday season.  nyediain sewa kacamata renang 5rb. pegawai kurang ramah. plss airnya terlalu berkaporit sampe kena lidah sakit, ke idung idung jg. gatau emang kaya gitu, atau pas kesana emang baru aja dibersihin🤔",3,12/30/2022 09:20:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,ratih elsya,,5,12/28/2022 07:03:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,aryasurya nendra,,4,12/28/2022 03:28:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Kampoeng Terapi,Hari ini kesana lagi untuk latihan renang sama anak.. udah waktunya perbaikan lantai dasar,4,12/18/2022 03:54:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Nurul Hidayah,,3,11/27/2022 05:56:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Tonia Rima Riyanti,,5,11/26/2022 13:28:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Anisha Tri Wulandari,,3,10/15/2022 05:35:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Anton Susilo,"KTMnya terjangkau, aimya lumayan bersih sesuai namanya, tempatnya enak utk nunggu anak2 renang, kamar ganti bersih... kalau hari minggu lumayan penuh kolam renangnya",5,09/04/2022 04:08:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,A L,,5,08/30/2022 00:21:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Nixon Hendrawan,"Kolam renang nya enak, ada tempat duduknya juga. Disini ada penyewaan kacamata renang juga dan pelampung. Mungkin kamar mandi bisa lebih ditingkatkan, karena ada yang bau",4,08/21/2022 09:51:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Jarot S.,,4,08/18/2022 13:58:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,efendy setyabudi,,5,08/05/2022 10:31:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,ANDI MUHAMMAD,,5,08/03/2022 09:09:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Alin mojo,"Suasana nyaman, asri dan bersih kolamnya. Pas mau ttup kya ownerny cek2 air .jdi safety dan kenyamanan pngunjung diutamakan.hrga trjangkau .",5,07/04/2022 12:38:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Atma Nur Khodir,Tempatnya nyaman... Pertama kali renang disini pas abis d bersihkan pula.. hanya kemarin agak kebanyakan kaporit,5,06/13/2022 14:00:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Sayadi Albrianto,Kolam renang yang luas sangat cocok untuk anak2 melatih kemapuan renang nya. Apa lagi pelatih renang nya sangat baik dan taktik melatih nya sangat bagus,5,05/17/2022 09:01:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Sahiya Kotabumi,"Baik untuk untuk anak-anak dan dewasa, karena ada kolam dalam dan dangkal",4,05/14/2022 22:44:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Dena Fauzian,today gonna clean water,5,05/09/2022 03:44:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Muji Mbahju,,4,05/05/2022 04:54:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,VINCENT channel,,5,04/12/2022 03:14:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Cahdolan AE,,4,03/27/2022 16:46:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Ffff Uusuauw,,1,03/24/2022 03:18:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Ananda Putri,,5,03/22/2022 01:19:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,juwito wito,,5,03/20/2022 12:52:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Nurul Wijayanti,"sangat ramai waktu weekend, air kolam kurang bersih",3,03/18/2022 03:44:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Atia Amrillah,Kolam renangnya bersih. Jam 6 pagi sudah buka jadi bisa kesini pagi untuk yg menghindari keramaian di masa pandemi ini. Tempatnya juga oke. Ada kantin juga. Ada kolam untuk anak kecil.,5,03/08/2022 01:39:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Feri Lais Al Hadi,,5,02/09/2022 20:29:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Kukuh Ari Pambudi,"opsi terbaik selain kolam renang jwalita di Trenggalek
selain tempatnya lumayan bersih juga kualitas airnya lebih baik
mungkin kedepannya bisa bangun sampai panjang 50 meter",5,02/06/2022 04:12:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Gigih Eka,,4,01/26/2022 07:31:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
